Entries (What does the text say?),Classification,Intensity (1-3)
"I'm looking to drink a lot of alcohol, which frats around town are free entry?",Social frats,1
What does my sign mean? Are there people on campus that focus on artonomy signs?,Astronomy,1
Are there any general debate teams around campus?,Debate,1
"I'm failing my history class, where can I go to recieve help?",Tutoring,1
"I just got the new GTA6 game, are there any groups of people on campus that are also playing the game?",Gaming,1
"I'm big into rap music, are there any music appreciate groups on campus that love rap music?",Music,1
"Olivia Rodrigo just released her new album, are there any other people that are excited about this on campus?",Music,1
"I'm really hungry, what's the closest place to eat from my dorm?",Eating,1
Where can I go to buy accessories for my PC?,Gaming,1
"I'm looking to try some new foods, I've generally only eaten American foods. Where should I go?",Eating,1
"I'm just starting to learn about the blockchain, where can I learn more on how to invest?",Blockchain,1
I'm looking to learn more about the medical field,Medicine,1
"I've been thinking about exploring different cultures, where should I start?",Cultural,1
I've been considering attending a spiritual retreat where can I find one?,Religious/Spiritual,1
"I've been contemplating joining a film club, where can I find one?",Media,1
I've been pondering joining a soccer team where can I sign up?,Sports,1
"I've been exploring the idea of getting involved in student government, where should I start?",Student Government,1
I've been considering joining a robotics workshop where can I find one?,Robotics,1
"I've been fascinated by the concept of joining an art class, where can I find one?",Arts,1
I've been pondering attending a coding bootcamp where can I find one?,Computer Science,1
"I've been intrigued by the idea of starting my own business, where should I start?",Business,1
I've been considering joining a business fraternity  where can I find one?,Business Frats,1
"I've been thinking about learning more about personal finance, where should I start?",Finance,1
I've been pondering attending a medical seminar  where can I find one?,Medicine,1
"I've been contemplating volunteering at a local shelter, where can I sign up?",Community Service,1
I've been considering trying out different cuisines,Eating,1
"I've been intrigued by the idea of joining an honors society, where can I find more information?",Honors,1
I've been pondering joining a gaming club,Gaming,1
"I've been thinking about connecting with my ethnic community, where should I start?",Ethnic,1
I've been considering taking dance classes where can I find a good studio?,Dance,1
"I've been contemplating joining a fraternity for social events, where can I find one?",Social frats,1
I've been considering joining an engineering fraternity,Engineering Frats,1
"I've been fascinated by the idea of stargazing, where should I go?",Astronomy,1
I've been pondering studying economics,Economics,1
"I've been thinking about developing my professional skills, where should I start?",Professional,1
I've been considering joining a debate team,Debate,1
"I've been contemplating learning a new language, where should I start?",Language,1
I've been pondering joining a tutoring program,Tutoring,1
"I've been intrigued by the idea of joining a music club, where can I find one?",Music,1
"I've been considering immersing myself in different cultures, where should I start?",Cultural,1
I've been contemplating attending a spiritual gathering,Religious/Spiritual,1
"I've been exploring the idea of joining a film society, where can I find one?",Media,1
I've been pondering joining a basketball league,Sports,1
"I've been thinking about getting involved in student council, where should I start?",Student Government,1
I've been considering participating in a robotics competition,Robotics,1
"I've been fascinated by the concept of enrolling in an art workshop, where can I find one?",Arts,1
I've been pondering attending a coding workshop,Computer Science,1
"I've been intrigued by the idea of launching my own venture, where should I start?",Business,1
I've been considering joining a business fraternity,Business Frats,1
"I've been thinking about learning more about personal finance, where should I start?",Finance,1
I've been pondering attending a medical conference,Medicine,1
"I've been contemplating volunteering at a local charity, where can I sign up?",Community Service,1
I've been considering exploring different cuisines,Eating,1
"I've been intrigued by the idea of joining an honors society, where can I find more information?",Honors,1
I've been pondering joining a gaming community,Gaming,1
"I've been thinking about connecting with my cultural heritage, where should I start?",Ethnic,1
I've been considering taking salsa classes,Dance,1
"I've been contemplating joining a fraternity for social events, where can I find one?",Social frats,1
I've been considering joining an engineering society,Engineering Frats,1
"I've been fascinated by the idea of observing the night sky, where should I go?",Astronomy,1
I've been pondering studying economics,Economics,1
"I've been thinking about developing my professional skills, where should I start?",Professional,1
I've been considering joining a debate club,Debate,1
"I've been contemplating learning a foreign language, where should I start?",Language,1
I've been pondering joining a tutoring program,Tutoring,1
"I've been intrigued by the idea of joining a music ensemble, where can I find one?",Music,1
"I'm interested in exploring different cultures, where should I start?",Cultural,1
I've been considering attending a spiritual retreat,Religious/Spiritual,1
"I've been exploring the idea of joining a film club, where can I find one?",Media,1
I've been pondering joining a soccer league,Sports,1
"I'm considering getting involved in student politics, where should I start?",Student Government,1
I've been contemplating participating in a robotics workshop,Robotics,1
"I've been fascinated by the concept of taking an art class, where can I find one?",Arts,1
I've been pondering attending a coding seminar,Computer Science,1
"I'm intrigued by the idea of starting my own business, where should I start?",Business,1
I've been considering joining a business fraternity,Business Frats,1
"I've been thinking about learning more about personal finance, where should I start?",Finance,1
I've been contemplating attending a medical seminar,Medicine,1
"I'm considering volunteering at a local shelter, where can I sign up?",Community Service,1
I've been pondering exploring different culinary experiences,Eating,1
"I've been intrigued by the idea of joining an honors society, where can I find more information?",Honors,1
I've been considering joining a gaming club,Gaming,1
"I'm interested in connecting with my cultural roots, where should I start?",Ethnic,1
I've been contemplating taking swing dance lessons,Dance,1
"I'm considering joining a fraternity for social events, where can I find one?",Social frats,1
I've been pondering joining an engineering club,Engineering Frats,1
"I'm fascinated by the idea of stargazing, where should I go?",Astronomy,1
I've been considering studying economics,Economics,1
"I'm thinking about developing my professional skills, where should I start?",Professional,1
I've been contemplating joining a debate team,Debate,1
"I'm intrigued by the idea of learning a foreign language, where should I start?",Language,1
I've been pondering joining a tutoring program,Tutoring,1
"I'm interested in joining a music ensemble, where can I find one?",Music,1
"I'm curious about exploring different cultures, where should I start?",Cultural,1
I've been considering attending a meditation retreat,Religious/Spiritual,1
"I've been exploring the idea of joining a book club, where can I find one?",Media,1
I've been pondering joining a tennis league,Sports,1
"I'm considering getting involved in student government, where should I start?",Student Government,1
I've been contemplating participating in a robotics competition,Robotics,1
"I've been fascinated by the concept of taking a painting class, where can I find one?",Arts,1
I've been pondering attending a coding workshop,Computer Science,1
"I'm intrigued by the idea of starting my own startup, where should I start?",Business,1
I've been considering joining a business fraternity,Business Frats,1
"I've been thinking about learning more about investment, where should I start?",Finance,1
I've been contemplating attending a medical conference,Medicine,1
"I'm considering volunteering at a local food bank, where can I sign up?",Community Service,1
I've been pondering exploring different culinary experiences,Eating,1
"I've been intrigued by the idea of joining an honors society, where can I find more information?",Honors,1
I've been considering joining a gaming community,Gaming,1
"I'm interested in connecting with my cultural heritage, where should I start?",Ethnic,1
I've been contemplating taking ballet lessons,Dance,1
"I'm considering joining a fraternity for social events, where can I find one?",Social frats,1
I've been pondering joining an engineering club,Engineering Frats,1
"I'm fascinated by the idea of stargazing, where should I go?",Astronomy,1
I've been considering studying economics,Economics,1
"I'm thinking about developing my professional skills, where should I start?",Professional,1
I've been contemplating joining a debate team,Debate,1
"I'm intrigued by the idea of learning a foreign language, where should I start?",Language,1
I've been pondering joining a tutoring program,Tutoring,1
"I'm interested in joining a music ensemble, where can I find one?",Music,1
I'm thinking of attending a cultural festival. Any suggestions?,Cultural,1
Where can I start exploring different spiritual practices? I'm interested but not sure where to begin.,Religious/Spiritual,1
Interested in joining a film society. Any leads?,Media,1
I'm considering joining a volleyball league. Any recommendations?,Sports,1
I'm interested in getting involved in campus governance but not sure where to start. Any advice?,Student Government,1
I've been fascinated by the concept of participating in a robotics workshop. Any options available?,Robotics,1
I'm considering taking an art workshop. Any suggestions on where to find one?,Arts,1
I'm thinking about attending a coding seminar. Any upcoming events I should know about?,Computer Science,1
I'm intrigued by the idea of launching my own venture. Any tips on where to begin?,Business,1
I'm contemplating joining a business association. Any recommendations on where to look?,Business Frats,1
I've been pondering learning more about financial planning. Any resources you can recommend?,Finance,1
I'm considering attending a medical symposium. Any upcoming conferences I should check out?,Medicine,1
I'm interested in volunteering at a local shelter. Any organizations in need of volunteers?,Community Service,1
I've been considering exploring different culinary experiences. Any recommendations for good spots?,Eating,1
I'm intrigued by the idea of joining an honors society. Any information on how to join?,Honors,1
I've been pondering joining a gaming guild. Any groups looking for new members?,Gaming,1
I'm thinking about connecting with my ethnic roots. Any events or clubs you can suggest?,Ethnic,1
I've been considering taking hip-hop dance lessons. Any studios offering beginner classes?,Dance,1
I'm contemplating joining a fraternity for social networking. Any suggestions on where to look?,Social frats,1
I'm interested in joining an engineering organization. Any clubs open to new members?,Engineering Frats,1
I'm fascinated by the idea of observing celestial bodies. Any places where I can stargaze?,Astronomy,1
I've been considering studying economics. Any beginner-friendly resources you can recommend?,Economics,1
I'm thinking about honing my professional skills. Any workshops or courses available?,Professional,1
I've been pondering joining a debate club. Any clubs looking for new members?,Debate,1
I'm intrigued by the idea of mastering a foreign language. Any language learning groups you can suggest?,Language,1
I'm considering joining a tutoring program. Any organizations offering tutoring opportunities?,Tutoring,1
I've been painting for about a year and want to get better at it. ,Arts,2
I've been dancing for a couple years and want to join a club but I have a heavy courseload.,Dance,2
I've been getting in to stargazing and want to have more access to equipment ,Astronomy,2
I've been playing basketball for about a year and want to get better at it.,Sports,2
I've been coding for a couple years and want to join a club but I have a heavy courseload.,Computer Science ,2
"I enjoy sketching and painting in my free time, are there any casual art clubs where I can further this interest",Arts,2
Just started in my accounting major and am curious about any groups that would help me with studying or internships,Accounting,2
I have started to invest through my brokerage account and would like to further my skills in this area.,Finance,2
I have been in a business club for a year in high school and would like to find some consulting opportunities.,Consulting,2
"I have some Python experience, but would like to learn more about machine learning with Python.",Machine Learning,2
I am an engineering major and wanted to develop myself professionally and socially,Engineering Frats,2
I have start to learn dancing and would like to join a RSO for it.,Dance,2
I am a Christian and would like to find ways to connect with other Christians at school.,Religious/Spiritual,2
I have done AP classes in economics and am interested in joining economics club on campus.,Economics,2
I have been playing competitive videogames for a year or so and want to play with others,Gaming,2
I love tasting new food and want to get involved with RSO's but have a heavy courseload ,Eating,2
I love spanish culture and want to get involved with the community more,Spanish,2
I played tennis for five years and want to play while balancing class work,Sports,2
I recently downloaded an editing software and want to learn how to get better at it,Arts,2
I don't have any specific interests but would like to get involved on campus,Social Clubs,2
I have done well academically this semester and am interested in joining an honor society,Honors,2
I would like to take leadership and help other students with their coursework,Tutoring,2
I have experience in computer science from high school but want to get into Machine Learning,Machine Learning,2
I'm majoring in business and I would like to join a community,Business Frats,2
I'm interesting in the way the economy works but I dont have much experience with economics,Economics,2
I am interested in learning more about figure drawing. I draw as a hobby.,Arts,2
I love cooking and want to expand my skills.,Eating,2
I was part of the newspaper club in highschool and want to continue to build on my jounalism skills.,Media,2
I was part of the robotics club in highschool and want to continue to build on those skills.,Robotics,2
I am interested in learning more about the field of medicine. I've had taken a related internship.,Medicine,2
I took Spanish classes in highschool and want to continue learning it.,Spanish,2
I've done a lot of volunteer work before and want to find more opportunities.,Community Service,2
I am interested in developing my professional skills in business but don't have a specific interest,Business Frats,2
"I have some experience with Spanish, but I want to get better",Spanish,2
"I have some experience with French, but I want to get better",Language,2
I like asian culture and want to get more involved and learn more,Asian,2
I'm passionate about social justice and want to find a club that advocates for equality and diversity.,Community Service,2
I love writing and literature and want to make connections with other young authors.,Media,2
I tutored math during highschool and want to continue tutoring on campus.,Tutoring,2
I am an experienced dancer and want to learn new dance styles.,Dance,2
I am an experienced dancer and want to learn new dance types.,Dance,2
I want to practice a language outside of class.,Language,2
I have some experience using Unreal Engine and want to further my game making skills.,Gaming,2
I have experience using Unity and want to work on a greater project.,Gaming,2
I have some background knowledge of crypto and I want to get more involved,Blockchain,2
I really enjoy playing football in my free time,Sports,2
I work with badminton players as a coach in my free time,Sports,2
I worked on a lot of robotics projects during high school,Robotics,2
I love working with Art! It's so fun,Art,2
"I love working with computers, they are so interesting",Computer Science,2
I have a vested interest in artifical intelligence,Machine Learning,2
I was the mechanical captain of my highschool's robotics team and want to partake in similar activites,Robotics,2
I love being the secretary of my high school club!,Student Government,2
I have experience in lots of engineering disciplines,Engineering Frat,2
"I was a journalist for my school newspaper and I still want to write, is there a paper I can write for",Media,2
"I was class president for three years in high school, what leadership positions can I can involved in",Student Government,2
"I already have a foundation in finance, but I want to learn specifics, where should I go?",Finance,2
"I'm a sophmore looking to use what I've used in ECE to build some robots, what clubs should I join?",Robotics ,2
"I'm very passionate about art, where can I find like-minded people",Art,2
I'm a sophmore in computer science looking to get involved in machine learning projects,Computer science,2
"Trying to find a service orgization that I can really become a part of, go there regularly",Community Service ,2
Are there any clubs for Muslims who want to explore their faith and participate in community events?,Religious/Spiritual,2
Are there some semi-competative sports leagues that I can join?,Sports,2
What organizations provide a good amount of volunteer opportunity with others?,Community Service ,2
I'm Hispanic and would like to be a part of a club of other people like me,Ethnic,2
I'm a sophomore looking to expand my knowledge past the basics of business,Business,2
"I've got some experience through my materials and physics classes, where can I apply it?",Engineering,2
I'm a sophmore in computer engineering looking to apply my software skills,Computer science,2
"I like drawing in my free time, where can I find people to draw with and explore new art mediums?",Art,2
"I'm looking to rush and become a member of a frat, but I don;t want anything too intensive",Social Frat,2
I'm a novice writer and want to apply my skills to real storytelling and reporting,Media,2
I know some knowledge about medicine but I want to attend more speaches about it,Medicine,2
I'm from China and I transferred to UIUC this semester. I'm looking to find events that resonate with my culture,Cultural,2
"I'm a christian looking to connect with other christians on campus, where should I go?",Religious/Spiritual,2
"I'm very invested in learning more about machine learning, where can I go to learn more?",Machine Learning,2
"I'm looking to become a business consultant for my career, are there any places on campus where I can train my skills to fit this position?",Business,2
Are there any political debate teams around campus?,Political,2
"I'm looking to meet other students that have a high GPA like me, where can I go?",Honors,2
I'm looking to find a dance team to join because I really enjoy dancing. What groups of people around me can facilitate that?,Dance,2
"I'm in an econ class and I need help with my homework, where can I go to understand the concepts being presented to me?",Economics,2
"I'm looking to get my career together and find a job, are there any job fairs going on soon?",Professional,2
"I'm looking to change the hardware inside of my PC for better FPS, are there any groups on campus that can help me with this?",Gaming,2
"Machine learning is a bit complicated for me to understand, are there any resources on campus that I can use to help ",Machine Learning,2
I'm a bilangual student looking to learn more about the culture of my 2nd langage (english),Language,2
I'm a professional eSports member and I'm looking to take some students under my wing and train them for the next big tournament. Where can i find people with interest in Valorant? ,Gaming,2
"I've been honing my painting skills for a while now, but I'm eager to improve further",Arts,2
"I've been exploring various dance styles for some time, but my busy schedule limits my club options",Dance,2
I've been delving into the wonders of stargazing lately and want better access to equipment,Astronomy,2
I've been refining my basketball skills over the past year and now I'm ready to take it to the next level,Sports,2
"I've been delving into coding for a couple of years, but my heavy coursework leaves me little room for clubs",Computer Science ,2
"I've been indulging in sketching and painting during my free time, but I'd love to join a club to nurture this passion",Arts,2
I'm just beginning my accounting major and I'm on the lookout for groups that could aid in my studies or internships,Accounting,2
I've recently started investing through my brokerage account and I'm eager to enhance my skills in this area,Finance,2
I've been part of a business club in high school and I'm now seeking opportunities in consulting,Consulting,2
"I have a decent grasp of Python, but I'm keen on delving deeper into machine learning with Python",Machine Learning,2
"As an engineering major, I aim to grow both professionally and socially, hence my interest in Engineering Frats",Engineering Frats,2
I've been dabbling in dance and now I'm keen on finding an RSO to further my skills,Dance,2
"As a Christian, I'm looking for avenues to connect with fellow believers on campus",Religious/Spiritual,2
I've had exposure to economics through my AP classes and now I'm interested in campus economics clubs,Economics,2
I've been competing in video games for a while and now I'm keen on finding like-minded individuals to play with,Gaming,2
"I have a penchant for trying new cuisines and wish to explore RSOs, although my schedule is packed",Eating,2
I'm fascinated by Spanish culture and seek greater involvement within the community,Spanish,2
I've played tennis for several years and I'm eager to continue while balancing my coursework,Sports,2
I've recently started using editing software and I'm determined to enhance my skills,Arts,2
"I'm open to joining various RSOs, as I'm keen on getting involved in campus activities",Social Clubs,2
I've had a successful academic semester and I'm now considering joining an honor society,Honors,2
I'm keen on leveraging my academic prowess to assist other students with their coursework through tutoring,Tutoring,2
I have some experience in computer science from high school and now I'm intrigued by machine learning,Machine Learning,2
I'm pursuing a business major and I'm interested in joining a community such as Business Frats,Business Frats,2
"I'm intrigued by the field of economics, although I lack substantial experience in the subject",Economics,2
I'm keen on enhancing my figure drawing skills and I'm exploring opportunities within the arts community,Arts,2
I have a passion for cooking and I'm eager to expand my culinary skills further,Eating,2
I was involved in my high school's newspaper club and now I'm eager to continue honing my journalism skills,Media,2
I have a background in robotics from high school and I'm eager to continue building on those skills,Robotics,2
"I'm interested in learning more about the medical field, having already completed a related internship",Medicine,2
I took Spanish classes in high school and now I'm motivated to continue my language learning journey,Spanish,2
I've been actively engaged in volunteer work and I'm eager to explore more opportunities on campus,Community Service,2
"I'm interested in developing my professional skills within the business realm, although I lack a specific focus",Business Frats,2
"I have some experience with Spanish, but I'm eager to improve",Spanish,2
I have a foundation in French and now I'm motivated to advance my proficiency,Language,2
I'm drawn to Asian culture and I'm seeking avenues for greater involvement and learning,Asian,2
I'm passionate about social justice and I'm on the lookout for a club that advocates for equality,Community Service,2
I have a love for writing and literature and I'm eager to connect with other aspiring authors,Media,2
I've tutored math in the past and I'm looking to continue this endeavor on campus,Tutoring,2
I'm an experienced dancer looking to broaden my horizons with new dance styles,Dance,2
I'm an experienced dancer looking to explore different dance types,Dance,2
I'm eager to practice a language outside of class to enhance my fluency,Language,2
I have some experience using Unreal Engine and I'm eager to further my game development skills,Gaming,2
I've worked with Unity and now I'm eager to embark on more ambitious projects,Gaming,2
I have some knowledge about crypto and now I'm eager to delve deeper into the field,Blockchain,2
I thoroughly enjoy playing football in my free time and I'm looking to further engage in the sport,Sports,2
I've coached badminton players in my free time and I'm eager to continue doing so,Sports,2
I've been extensively involved in robotics projects during high school and I'm eager to continue similar activities,Robotics,2
I'm deeply passionate about art and I'm eager to connect with like-minded individuals,Art,2
I'm fascinated by the world of computers and I'm keen on exploring it further,Computer Science,2
I have a keen interest in artificial intelligence and I'm eager to delve deeper into the subject,Machine Learning,2
I was the mechanical captain of my high school's robotics team and I'm eager to continue similar activities,Robotics,2
I thoroughly enjoyed being the secretary of my high school club and I'm keen on taking up similar roles,Student Government,2
I possess experience in various engineering disciplines and I'm eager to explore more opportunities,Engineering Frat,2
I was a journalist for my school newspaper and I'm eager to continue honing my writing skills,Media,2
I was class president for three years in high school and I'm eager to assume similar leadership positions,Student Government,2
I have a foundation in finance and now I'm eager to delve into specific areas within the field,Finance,2
I'm a sophomore looking to utilize my skills from ECE to contribute to robotics projects,Robotics ,2
I'm deeply passionate about art and I'm eager to connect with fellow art enthusiasts,Art,2
I'm a sophomore majoring in computer science and I'm eager to participate in machine learning projects,Computer science,2
I'm keen on finding a service organization where I can make regular contributions,Community Service ,2
I'm interested in joining a club for Muslims to explore my faith and engage in community events,Religious/Spiritual,2
I'm on the lookout for semi-competitive sports leagues to join and enhance my skills,Sports,2
I've been practicing painting for some time now and I'm eager to refine my skills further,Arts,2
I've been immersing myself in various dance forms and now I'm looking to join a club despite my busy schedule,Dance,2
I've been deeply engrossed in astronomy lately and I'm seeking better access to equipment for my stargazing endeavors,Astronomy,2
I've been honing my basketball skills for about a year and now I'm ready to take them to the next level,Sports,2
"I've been coding for a couple of years and I'm keen on joining a club, although my coursework is demanding",Computer Science ,2
"I've been nurturing my passion for sketching and painting in my leisure time, but now I'm eager to expand my horizons",Arts,2
I'm just starting my accounting major and I'm interested in groups that can support me academically and professionally,Accounting,2
I've recently started investing through my brokerage account and I'm eager to enhance my financial acumen,Finance,2
I've been involved in a business club during high school and now I'm looking for opportunities in consulting,Consulting,2
"I have some experience with Python, but I'm eager to delve deeper into machine learning with Python",Machine Learning,2
"As an engineering major, I aspire to develop my skills both socially and professionally, hence my interest in Engineering Frats",Engineering Frats,2
I've been exploring dance as a hobby and now I'm keen on joining an RSO to improve my skills,Dance,2
"As a Christian, I'm seeking avenues to connect with fellow believers and deepen my faith",Religious/Spiritual,2
I've been introduced to economics through my AP classes and now I'm intrigued by campus economics clubs,Economics,2
I've been competing in video games for some time and now I'm looking for like-minded individuals to team up with,Gaming,2
"I enjoy trying out different cuisines and I'm eager to explore RSOs, despite my busy schedule",Eating,2
I'm fascinated by Spanish culture and I'm on the lookout for opportunities to immerse myself further,Spanish,2
I've played tennis for several years and now I'm eager to continue while balancing my academic commitments,Sports,2
I've recently started using editing software and I'm determined to master it to enhance my artistic endeavors,Arts,2
I'm open to joining various RSOs to expand my horizons and make new connections on campus,Social Clubs,2
I've had a successful semester academically and I'm considering joining an honor society to further my achievements,Honors,2
I'm keen on using my academic strengths to assist other students with their coursework through tutoring,Tutoring,2
I have some prior experience in computer science and now I'm intrigued by the field of machine learning,Machine Learning,2
I'm pursuing a business major and I'm interested in joining a community such as Business Frats to network and learn,Business Frats,2
"I'm intrigued by economics, although I lack substantial experience in the subject",Economics,2
I'm eager to enhance my figure drawing skills and I'm exploring opportunities within the arts community,Arts,2
I have a passion for cooking and I'm eager to expand my culinary repertoire further,Eating,2
I enjoyed my time in the high school newspaper club and now I'm eager to continue honing my journalism skills,Media,2
I have a background in robotics from high school and now I'm eager to continue building on those skills,Robotics,2
"I'm interested in learning more about the medical field, having already completed a related internship",Medicine,2
I took Spanish classes in high school and now I'm motivated to continue my language learning journey,Spanish,2
I've been actively engaged in volunteer work and I'm eager to explore more opportunities on campus,Community Service,2
"I'm interested in developing my professional skills within the business realm, although I lack a specific focus",Business Frats,2
"I have some experience with Spanish, but I'm eager to improve",Spanish,2
I have a foundation in French and now I'm motivated to advance my proficiency,Language,2
I'm drawn to Asian culture and I'm seeking avenues for greater involvement and learning,Asian,2
I'm passionate about social justice and I'm on the lookout for a club that advocates for equality and diversity,Community Service,2
I have a love for writing and literature and I'm eager to connect with other aspiring authors,Media,2
I've tutored math in the past and I'm looking to continue this endeavor on campus,Tutoring,2
I'm an experienced dancer looking to broaden my horizons with new dance styles,Dance,2
I'm an experienced dancer looking to explore different dance types,Dance,2
I'm eager to practice a language outside of class to enhance my fluency,Language,2
I have some experience using Unreal Engine and I'm eager to further my game development skills,Gaming,2
I've worked with Unity and now I'm eager to embark on more ambitious projects,Gaming,2
I have some knowledge about crypto and now I'm eager to delve deeper into the field,Blockchain,2
I thoroughly enjoy playing football in my free time and I'm looking to further engage in the sport,Sports,2
I've coached badminton players in my free time and I'm eager to continue doing so,Sports,2
I've been extensively involved in robotics projects during high school and I'm eager to continue similar activities,Robotics,2
I'm deeply passionate about art and I'm eager to connect with like-minded individuals,Art,2
I'm fascinated by the world of computers and I'm keen on exploring it further,Computer Science,2
